,,2,J’utilise les ciseaux
,,,
,,3,Je découpe sur une ligne
,,,
,,4,Je découpe des formes
,,,
,,5,Je colle
,,,
,,6,"Je pratique le modelage abstrait (pâte à modeler, argile…)"
,,,
,,7,Je pratique le modelage pour représenter le réel
,,,
,,8,Je réalise des constructions simples
,,,
,,9,Je réalise des constructions de plus en plus complexes
,,,
,,10,"J’utilise des outils de bricolage simples (tournevis, marteau…)"
,,,
,,11,Je réalise de petits bricolages avec l’aide de l’adulte/jeune membre plus âgé
,,,
,,12,"Je maîtrise différents système d’ouverture/fermeture (à glissière, à pressions…)"
,,,
,,13,"Je connais et prends en compte les risques de l’environnement familier (produit, outils…)"
,,,
,,14,Je sais allumer et éteindre correctement un ordinateur
,,,
,,15,Je sais utiliser le clavier et la souris de l’ordinateur
,,,
,,16,Je participe à l’élaboration d’une recette de cuisine
,,,
4,"Agir, s'exprimer, comprendre à travers l'activité physique",,
,,1,Je conçois et réalise avec d’autres une séquence d’actions et de déplacement
,,,
,,2,"Je cours, saute, lance de différentes façons, dans des espaces différents et avec des matériels variés"
,,,
,,3,Je me déplace sur des engins à roues
,,,
,,4,Je fais du vélo à 2 roues (sans roulettes)
,,,
,,5,Je me déplace avec aisance dans des environnement variés
,,,
,,6,Je participe à des jeux d’opposition
,,,
,,7,Je participe à des jeux coopératifs
,,,
5,"Agir, s'exprimer, comprendre à travers les activités artistiques",,
,,1,Je conçois et réalise avec d’autres un petit spectacle vivant
,,,
,,2,Je découvre (nom et pratique) différents instruments de musique
,,,
,,3,Je connais quelques comptines et chansons de mémoire
,,,
,,4,"Je joue avec ma voix pour explorer des variantes de timbre, d’intensité, de hauteur, de nuance"
,,,
,,5,J’exprime mon ressenti face à un extrait musical ou une production artistique
,,,
,,6,Je pratique le dessin pour représenter ou illustrer
,,,
,,7,Je réalise une production en reproduisant ou créant des graphismes
,,,
,,8,Je réalise des compositions plastiques individuelles
,,,
,,9,Je réalise des compositions plastiques collectives
,,,
6,"Apprendre ensemble, vivre ensemble",,
,,1,J'accepte de me séparer de l’adulte qui accompagne
,,,
,,2,Je connais quelques prénoms des autres membres de l’école
,,,
,,3,Je connais tous les prénoms des autres membres de l’école
,,,
,,4,Je suis capable de jouer en autonomie
,,,
,,5,J’indique le lieu ou je me trouve sur le panneau de présence
,,,
,,6,Je m’habille/me déshabille et me chausse/déchausse seul
,,,
,,7,Je débarrasse et range ce que j’ai utilisé après avoir mangé
,,,
,,8,Je participe au ménage collectif
,,,
,,9,J’assume une responsabilité au sein de l’école
,,,
,,10,Je respecte le matériel de l’école
,,,
,,11,"J’attends mon tour (jeu de société, tour de parole…)"
,,,
,,12,J’accepte de partager le matériel collectif
,,,
,,13,Je connais les principales règles de l’école qui me concernent
,,,
,,14,Je respecte quelques règles de l’école
,,,
,,15,Je respecte la majorité des règles de l’école
,,,
,,16,Je participe aux instances de l’école en tant qu’observateur
,,,
,,17,Je participe aux instances de l’école de manière participative
,,,
,,18,J’obtiens mes premiers certificats d’utilisation du matériel
,,,
,,19,"J’adapte mon comportement et mon volume sonore à la pièce ou je me trouve (salle calme, salle de jeux...)"
,,,
