,,5,accepter les différences en ayant conscience de la dignité de la personne humaine 
,,,culture civique
,,6,négocier une solution commune si une production collective est demandée 
,,,"histoire, géographie"
,,7,"réaliser, de manière collaborative le prototype d’un objet communicant "
,,,"physique-chimie, SVT"
,2,La règle et le droit,
,,1,Respecter les sources et les droits d’auteur et l’utilisation de sons libres de droit 
,,,musique
,,2,respecter et faire respecter les règles de sécurité 
,,,sport
,,3,connaître et comprendre le foncement des principes de et des valeurs de la république française et des sociétés démocratiques
,,,culture civique
,,4,avoir conscience des droits et des devoirs de l’individu comme citoyen dans une société démocratique  
,,,culture civique
,3,Réflexion et discernement,
,,1,argumenter une critique adossée à une analyse objective
,,,musique
,,2,"distinguer les postures de créateur, d’interprète et d’auditeur"
,,,musique
,,3,être capable de confronter ses jugements lors de débats argumentés tout en développant des aptitudes à la réflexion critique
,,,culture civique
,,4,relier la connaissance des processus biologiques à des comportements responsables en matière de santé 
,,,"physique-chimie, SVT"
,4,"Responsabilité, sens de l’engagement et de l’initiative",
,,1,"faire preuve d’autonomie, d’initiative, de responsabilité, d’engagement, et d’esprit critique dans la conduite d’un projet artistique "
,,,art
,,2,assumer des responsabilités au sein d’un collectif 
,,,sport
,,3,s’échauffer avant un effort  
,,,sport
,,4,participer à l’élaboration d’un projet artistique 
,,,sport
,,5,apprendre à utiliser les outils numériques qui peuvent conduire à des réalisations collectives 
,,,"histoire, géographie"
,,6,réinvestir ses connaissances sur les énergies pour agir de façon respectueuse de l’environnement 
,,,"physique-chimie, SVT"
,,7,justifier des comportements responsables face à la préservation des ressources limitées de la planète 
,,,"physique-chimie, SVT"
4,Les systèmes naturels et les systèmes techniques,,
,1,Démarche scientifique,
,,1,identifier des questions de nature scientifique
,,,physique-chimie
,,2,proposer des hypothèses pour répondre à des questions scientifiques
,,,physique-chimie
,,3,"interpréter des résultats expérimentaux, tirer des conclusions et communiquer en argumentant"
,,,physique-chimie
,,4,expliquer des faits d’observation et mettre en œuvre des démarches propres aux sciences 
,,,physique-chimie
,,5,"s’engager dans une démarche scientifique (observer, questionner, manipuler, expérimenter) "
,,,mathématiques
,,6,contrôler la vraisemblance des résultats en estimant des ordres de grandeurs 
,,,mathématiques
,,7,comprendre et utiliser la notion de fonction 
,,,mathématiques
,,8,comprendre l’effet de quelques transformations sur les figures géométriques 
,,,mathématiques
,,9,communiquer par écrit un sentiments/point de vue/jugement en tenant compte du destinataire
,,,français
,,10,comprendre et utiliser des notions élémentaires de probabilités 
,,,mathématiques
,2,"Conception, création, réalisation",
,,1,imaginer l’organisation de différents éléments sonores 
,,,musique
,,2,réaliser des circuits électriques 
,,,physique-chimie
,,3,"écrire, mettre au point et exécuter un programme "
,,,techno
,,4,analyser le fonctionnement et la structure d’un objet 
,,,techno
,,5,utiliser et simuler le comportement d’un objet 
,,,techno
,3,Responsabilités individuelles et collectives,
,,1,connaître les effets d’une pratique physique régulière sur sa santé 
,,,sport
,4,Connaissances sur l’environnement,
,,1,décrire la constitution des états de la matière 
,,,physique-chimie
,,2,décrire et expliquer des transformations chimiques 
,,,physique-chimie
,,3,avoir connaissance de notions précises sur l'univers
,,,physique-chimie
,,4,"modéliser une action exercée sur un objet par une force caractérisée par une direction, un sens, une valeur (exemple : loi de gravitation, pesenteur, ou situations d'équilibr statique : ressorts, muscles…) "
,,,physique-chimie
,,5,"caractériser différents types de signaux (lumineux, sonores, audio) et les utiliser"
,,,physique-chimie
,,6,"identifier les sources, les conversions et les formes d’énergie"
,,,physique-chimie
,,7,"explorer et expliquer des phénomènes géologiques, météorologiques et climatiques "
,,,SVT
,,8,"identifier les principaux impacts de l’action humaine, bénéfices et risques, à la surface de la terre "
,,,SVT
,,9,"expliquer l’organisation et le fonctionnement du monde vivant, sa dynamique à différentes échelles "
,,,SVT
,,10,"établir des relations de causalité entre différents faits pour expliquer la nutrition des organismes, la classification du vivant, la diversité des espèces, l’évolution ou la reproduction des êtres vivants"
,,,SVT
,,11,"expliquer des processus biologiques (digestion, activité musculaire et moléculaire) "
,,,SVT
,,12,comprendre le fonctionnement d’un réseau informatique 
,,,techno
5,Les représentations du monde et de l’activité humaine,,
,1,L’espace et le temps,
,,1,situer un fait dans une époque ou une période donnée 
,,,"histoire, géographie"
,,2,ordonner des faits les uns par rapport aux autres
,,,"histoire, géographie"
,,3,savoir raconter un fait historique d’une époque ou d’une période donnée
,,,"histoire, géographie"
,,4,s’approprier la périodisation de l’histoire et pratiquer des allers-retours au sein de la chronologie 
,,,"histoire, géographie"
,,5,"nommer et localiser les grands repères historiques nommer, localiser et caractériser un lieu dans un espace géographique"
,,,"histoire, géographie"
,,6,se repérer sur une droite graduée
,,,"mathématiques, français, histoire"
,2,Organisations et représentations du monde,
,,1,percevoir les spécificités culturelles en dépassant la vision des clichés  
,,,langues
,,2,porter un regard curieux et avisé sur son environnement artistique et culturel proche ou lointain 
,,,art
,,3,utiliser des représentations d’espaces à  différentes échelles 
,,,"histoire, géographie"
,,4,concevoir et réaliser un dispositif de mesure ou d’observation 
,,,physique-chimie
,,5,produire et utiliser plusieurs représentations des nombres 
,,,mathématiques
,,6,utiliser produire et mettre en relation des représentation de solides 
,,,mathématiques
,,7,reconnaître les solides et savoir les construire 
,,,mathématiques
,3,Connaissance du monde et citoyenneté,
,,1,"se rappeler et nommer quelques œuvres majeures, et les rattacher à une époque et une aire de production "
,,,art
,,2,comparer des œuvres entres elles 
,,,art
,,3,rendre compte en termes personnels d’une expérience artistique vécue 
,,,art
,,4,comparer l’évolution d’objets
,,,techno
,,5,connaitre quelques objets communicants  
,,,techno
