,,1,identifier trois états de la matière et observer des changements d'états
,,,sciences
,,2,"connaître des caractéristiques du monde vivant, ses interactions, sa diversité"
,,, sciences
,,3,reconnaître des comportements favorables à sa santé
,,,sciences
5,Les représentations du monde et de l’activité humaine,,
,1,L’espace et le temps,
,,1,"Situer un lieu sur une carte, sur un globe, sur un écran "
,,,"histoire, géographie"
,,2,"Se repérer dasn l'espace, le représenter "
,,,"sport, géographie"
,,3,"Se repérer dans le temps, mesurer des durées"
,,,"mathématiques,  histoire"
,,4,Repérer et situer quelques évênements dans un temps long
,,,histoire
,2,Organisations et représentations du monde,
,,1,"s'approprier une culture physique sportive, artistique "
,,,sport
,,2,découvrir la variété des activités et des spectacles sportifs
,,,sport
,,3,utiliser diverses représentations de solides et de situations spatiales 
,,,mathématiques
,,4,"imaginer, réaliser : observer des objets de la vie quotidienne et réaliser des objets simples, des montages"
,,,"sciences, histoire"
,,5,s'approprier quelques œuvres de domaines et d'époques variées appartenant au patrimoine mondial 
,,,art 
,,6,se repérer dans les domaines liés aux arts
,,,art
,3,Connaissance du monde et citoyenneté,
,,1,"comparer quelques modes de vie des hommes et des femmes et quelques représentations du monde (alimentation, déplacements, habitats selon les époques et les cultures )"
,,,"histoire, géographie"
,,2,"identifer des paysages (caractéristiques différentes selon les lieux, paysages français typiques) "
,,," histoire, géographie"
,,3,"Comprendre qu'un espace est organisé (fonctions quartier/village/villes, espaces proches, lectures de cartes et légendes)"
,,,géographie
